year,date,agenda_pages,supplemental_pages,minutes_pages,has_all,total_pages
2018,2018-05-10,8,219,10,True,237
2018,2018-05-23,9,31,10,True,50
2018,2018-06-14,9,81,10,True,100
2018,2018-07-12,7,75,9,True,91
2018,2018-07-26,5,49,5,True,59
2018,2018-08-09,9,155,11,True,175
2018,2018-08-23,5,7,6,True,18
2018,2018-09-13,12,107,12,True,131
2018,2018-09-27,7,16,8,True,31
2018,2018-10-11,7,123,10,True,140
2018,2018-10-25,7,101,7,True,115
2018,2018-11-08,9,17,11,True,37
2018,2018-11-29,6,29,6,True,41
2018,2018-12-13,5,72,6,True,83
2018,2018-12-20,5,50,5,True,60
2019,2019-01-10,6,2322,7,True,2335
2019,2019-01-24,9,424,12,True,445
2019,2019-02-14,7,66,8,True,81
2019,2019-02-28,6,19,7,True,32
2019,2019-03-14,11,60,14,True,85
2019,2019-03-28,9,32,12,True,53
2019,2019-04-11,6,56,8,True,70
2019,2019-05-09,10,92,13,True,115
2019,2019-05-23,7,161,9,True,177
2019,2019-06-13,7,5,8,True,20
2019,2019-06-27,6,41,7,True,54
2019,2019-07-11,6,85,7,True,98
2019,2019-07-25,4,84,5,True,93
2019,2019-08-08,9,115,11,True,135
2019,2019-08-22,7,7,6,True,20
2019,2019-09-12,8,29,9,True,46
2019,2019-09-26,7,26,8,True,41
2019,2019-10-10,8,72,9,True,89
2019,2019-10-24,11,94,13,True,118
2019,2019-11-14,10,36,11,True,57
2019,2019-11-21,8,111,8,True,127
2019,2019-12-12,8,65,9,True,82
2019,2019-12-19,5,96,6,True,107
2020,2020-01-09,7,23,8,True,38
2020,2020-01-23,7,16,8,True,31
2020,2020-02-13,11,39,10,True,60
2020,2020-03-12,11,128,7,True,146
2020,2020-04-23,10,193,11,True,214
2020,2020-05-14,13,276,15,True,304
2020,2020-05-28,12,435,14,True,461
2020,2020-06-04,6,18,3,True,27
2020,2020-06-11,5,215,5,True,225
2020,2020-06-25,9,172,7,True,188
2020,2020-07-09,5,11,4,True,20
2020,2020-07-23,5,27,5,True,37
2020,2020-08-13,9,253,9,True,271
2020,2020-08-27,9,112,8,True,129
2020,2020-09-10,6,76,5,True,87
2020,2020-09-17,5,55,5,True,65
2020,2020-09-24,8,29,7,True,44
2020,2020-10-08,9,331,8,True,348
2020,2020-10-15,6,107,4,True,117
2020,2020-10-22,8,107,8,True,123
2020,2020-11-05,10,112,11,True,133
2020,2020-11-19,9,78,8,True,95
2020,2020-12-03,7,85,7,True,99
2020,2020-12-10,4,18,3,True,25
2020,2020-12-17,5,38,4,True,47
2021,2021-01-14,3,18,3,True,24
2021,2021-01-28,6,20,5,True,31
2021,2021-02-11,4,15,3,True,22
2021,2021-02-18,5,197,2,True,204
2021,2021-02-25,8,128,8,True,144
2021,2021-03-11,7,59,6,True,72
2021,2021-03-25,6,80,6,True,92
2021,2021-04-08,7,27,6,True,40
2021,2021-04-22,6,6,5,True,17
2021,2021-05-13,8,86,9,True,103
2021,2021-05-27,9,441,8,True,458
2021,2021-06-10,8,85,7,True,100
2021,2021-06-17,6,239,2,True,247
2021,2021-07-08,5,15,4,True,24
2021,2021-07-22,7,36,7,True,50
2021,2021-08-12,5,5,4,True,14
2021,2021-08-26,6,152,2,True,160
2021,2021-09-09,9,61,8,True,78
2021,2021-09-23,7,6,6,True,19
2021,2021-09-30,6,6,5,True,17
2021,2021-10-14,6,302,6,True,314
2021,2021-10-21,8,136,7,True,151
2021,2021-10-28,7,36,8,True,51
2021,2021-11-04,7,63,7,True,77
2021,2021-11-18,6,381,6,True,393
2021,2021-12-09,7,7,7,True,21
2022,2022-01-13,8,998,9,True,1015
2022,2022-01-27,7,58,8,True,73
2022,2022-02-10,6,13,6,True,25
2022,2022-02-24,12,191,14,True,217
2022,2022-03-10,10,39,8,True,57
2022,2022-03-17,3,5,2,True,10
2022,2022-03-24,8,96,8,True,112
2022,2022-04-14,8,22,8,True,38
2022,2022-04-28,10,887,12,True,909
2022,2022-05-12,8,388,9,True,405
2022,2022-05-19,4,82,3,True,89
2022,2022-05-26,5,7,4,True,16
2022,2022-06-09,6,43,6,True,55
2022,2022-06-23,8,935,7,True,950
2022,2022-07-14,6,373,6,True,385
2022,2022-07-28,8,127,7,True,142
2022,2022-08-11,9,59,9,True,77
2022,2022-08-25,8,13,9,True,30
2022,2022-09-08,5,13,5,True,23
2022,2022-09-22,9,129,9,True,147
2022,2022-10-13,3,40,2,True,45
2022,2022-10-27,10,122,10,True,142
2022,2022-11-03,7,95,7,True,109
2022,2022-11-17,9,468,9,True,486
2022,2022-12-08,8,280,7,True,295
2022,2022-12-15,9,58,7,True,74
2023,2023-02-09,9,126,10,True,145
2023,2023-02-23,7,76,7,True,90
2023,2023-03-09,9,73,10,True,92
2023,2023-03-23,5,73,5,True,83
2023,2023-04-20,6,48,6,True,60
2023,2023-04-27,6,51,5,True,62
2023,2023-05-11,6,68,5,True,79
2023,2023-05-25,7,80,7,True,94
2023,2023-06-08,7,529,5,True,541
2023,2023-07-13,12,88,13,True,113
2023,2023-07-27,10,345,10,True,365
2023,2023-08-10,7,26,7,True,40
2023,2023-08-24,10,208,9,True,227
2023,2023-09-14,6,126,7,True,139
2023,2023-09-28,9,45,9,True,63
2023,2023-10-12,9,98,10,True,117
2023,2023-10-26,8,100,8,True,116
2023,2023-11-02,4,17,3,True,24
2023,2023-11-16,3,31,8,True,42
2023,2023-12-14,16,40,17,True,73
2024,2024-01-11,8,642,8,True,658
2024,2024-01-25,7,14,6,True,27
2024,2024-02-22,8,72,7,True,87
2024,2024-03-28,6,14,5,True,25
2024,2024-04-11,8,76,8,True,92
2024,2024-05-09,7,93,6,True,106
2024,2024-05-23,9,26,9,True,44
2024,2024-06-13,8,16,5,True,29
2024,2024-06-27,9,131,6,True,146
2024,2024-07-11,6,41,6,True,53
2024,2024-07-25,8,33,8,True,49
2024,2024-08-08,11,10,11,True,32
2024,2024-09-12,12,65,10,True,87
2024,2024-09-26,6,1348,6,True,1360
2024,2024-10-10,6,28,5,True,39
